example_id,query_id,product_id,query,query_source
107085,4325,B00KWNC4O0,4G basic phones with keyboards ,enhanced
107094,4326,B07GBRB55Z,4G flip phones under $100 rated above 4 stars with 150+ reviews.,enhanced
118424,4864,B077ZRWXPH,Show me 6-inch screen phones between $100 and $200 and rated 4.2+ stars from 250+ reviews.,enhanced
176891,7796,B07YZP6Y7Z,I need an unlocked Alcatel phones for less than $40.,enhanced
176895,7796,B07PHTYGY7,I need an unlocked Alcatel phones for less than $40.,enhanced
176896,7796,B07JZSKYXP,I need an unlocked Alcatel phones for less than $40.,enhanced
176897,7796,B088MKVYTF,I need an unlocked Alcatel phones for less than $40.,enhanced
176899,7796,B078TK99X5,I need an unlocked Alcatel phones for less than $40.,enhanced
200456,9056,B07R7DY911,Android One phones between with rating higher than 4.4 stars and at least 500 reviews.,enhanced
200461,9056,B07N92347B,Android One phones between with rating higher than 4.4 stars and at least 500 reviews.,enhanced
200462,9056,B07N91S9MW,Android One phones between with rating higher than 4.4 stars and at least 500 reviews.,enhanced
211572,9623,B07Z4681LQ,Apple 11 Pro Max,original_esci
212283,9661,B07P6Y7954,Apple cell phones with at least 4.4 star ratings.,enhanced
212285,9661,B07757LZ1J,Apple cell phones with at least 4.4 star ratings.,enhanced
212326,9664,B07KKKH5CK,Find me Apple certified refurbished iPhones between $300 and $500.,enhanced
212330,9664,B077578W38,Find me Apple certified refurbished iPhones between $300 and $500.,enhanced
213510,9721,B07ZQRL9XY,"Apple iPhone 11 Pro with 12,000 reviews or higher.",enhanced
213562,9724,B07ZQRL9XY,I need an Unlocked iPhone 11 Pro,enhanced
213758,9736,B07TC98DN3,Show me iPhone XR 128GB models that are priced over $300.,enhanced
213812,9739,B07KKKH5CK,Apple iPhone XS Max 64GB fully unlocked like new under $400.,enhanced
214479,9774,B07YWB338N,I want a new unlocked Apple phones priced between $280 and $350.,enhanced
214481,9774,B07K8RNW7H,I want a new unlocked Apple phones priced between $280 and $350.,enhanced
214489,9774,B07756XHL4,I want a new unlocked Apple phones priced between $280 and $350.,enhanced
237351,10922,B082WNRSPY,Search for cell phones with 4.3+ stars that are compatible with at&t.,enhanced
237359,10922,B07MY7XPNZ,Search for cell phones with 4.3+ stars that are compatible with at&t.,enhanced
237362,10922,B07KCKNZ59,Search for cell phones with 4.3+ stars that are compatible with at&t.,enhanced
237390,10924,B07RB2K1MF,AT&T prepaid phones under $200 with 4+ stars.,enhanced
237391,10924,B07MY7XPNZ,AT&T prepaid phones under $200 with 4+ stars.,enhanced
237393,10924,B07MBWWM25,AT&T prepaid phones under $200 with 4+ stars.,enhanced
237396,10924,B071KGVXVS,AT&T prepaid phones under $200 with 4+ stars.,enhanced
237397,10924,B07RQFB4TP,AT&T prepaid phones under $200 with 4+ stars.,enhanced
354041,16947,B00NET0PVI,Latest BlackBerry phones. Should have at least 1000 reviews and 4 star rating,enhanced
354044,16947,B00BC0WNUC,Latest BlackBerry phones. Should have at least 1000 reviews and 4 star rating,enhanced
360713,17283,B072N6BD9V,Blu Advance A4,original_esci
360904,17291,B0843HCT63,BLU Vivo 64GB 3GB RAM phone priced below $60,enhanced
384417,18484,B083G88YCG,Boost Mobile unlocked phones rated 4.4 or higher,enhanced
384420,18484,B07YZS2X7J,Boost Mobile unlocked phones rated 4.4 or higher,enhanced
384421,18484,B07WF9K475,Boost Mobile unlocked phones rated 4.4 or higher,enhanced
384426,18484,B07H8PXT7K,Boost Mobile unlocked phones rated 4.4 or higher,enhanced
404147,19476,B07Z4681LQ,brand new iphone 11 pro max,original_esci
496767,24309,B07X4XKNYY,Show me unlocked Samsung Note 9 phones (4.5+ star rating),enhanced
719919,35823,B076M9RQJ2,Dual SIM Galaxy S8 unlocked phones (2000+ reviews),enhanced
826875,41296,B00O15MXQY,4G flip phones for T-Mobile. Look for those phones that have 3.6 plus rating,enhanced
826876,41296,B019Y66Q7G,4G flip phones for T-Mobile. Look for those phones that have 3.6 plus rating,enhanced
826877,41296,B07PHTYGY7,4G flip phones for T-Mobile. Look for those phones that have 3.6 plus rating,enhanced
826880,41296,B07GBRB55Z,4G flip phones for T-Mobile. Look for those phones that have 3.6 plus rating,enhanced
861900,43144,B07RS512XL,Fully unlocked international smartphones between $200 and $500 4+ stars 300+ reviews.,enhanced
861902,43144,B07JZRL7N5,Fully unlocked international smartphones between $200 and $500 4+ stars 300+ reviews.,enhanced
861903,43144,B07HFK5PQQ,Fully unlocked international smartphones between $200 and $500 4+ stars 300+ reviews.,enhanced
861912,43144,B079H6RLKQ,Fully unlocked international smartphones between $200 and $500 4+ stars 300+ reviews.,enhanced
877324,43948,B07Z3XZDT5,Galaxy Note 10 unlocked phones with many reviews.,enhanced
877414,43953,B07V3GXJM8,Show me top rated Samsung Note 10 Plus phones,enhanced
877673,43968,B08HL64JS8,I want a Samsung Galaxy Note 20 that is rated minimum of 4.3 stars by 1000 plus buyers.,enhanced
877992,43986,B084HP3P7W,Galaxy S10 Dual SIM. Maximum price $390.,enhanced
877999,43986,B07NZVRK97,Galaxy S10 Dual SIM. Maximum price $390.,enhanced
878005,43986,B07N4M412B,Galaxy S10 Dual SIM. Maximum price $390.,enhanced
878120,43993,B07WW23RNV,I'm looking for renewed Galaxy S10 phones priced under $350 with at least 300 reviews.,enhanced
878121,43993,B07VX9579Y,I'm looking for renewed Galaxy S10 phones priced under $350 with at least 300 reviews.,enhanced
878129,43993,B07N4M412B,I'm looking for renewed Galaxy S10 phones priced under $350 with at least 300 reviews.,enhanced
878277,44002,B07N4M412B,Show me Galaxy S10e phones on sale for under $300 with at least 200 reviews and a 4.5+ star rating.,enhanced
878430,44012,B07K4V3364,Look for Galaxy S6 unlocked under $200 rated above 3.7 stars.,enhanced
878435,44012,B01IRSR9XM,Look for Galaxy S6 unlocked under $200 rated above 3.7 stars.,enhanced
878438,44012,B00VH2TWBS,Look for Galaxy S6 unlocked under $200 rated above 3.7 stars.,enhanced
930087,46730,B079YY2GHY,Show me Google Pixel 2 phones with at least 600 reviews.,enhanced
930089,46730,B0799VL3SY,Show me Google Pixel 2 phones with at least 600 reviews.,enhanced
930091,46730,B0787V183F,Show me Google Pixel 2 phones with at least 600 reviews.,enhanced
930096,46730,B079C1K282,Show me Google Pixel 2 phones with at least 600 reviews.,enhanced
930098,46731,B07N16M67R,I want an unlocked Google Pixel 2 for under $150.,enhanced
930103,46731,B07F1B967S,I want an unlocked Google Pixel 2 for under $150.,enhanced
930107,46731,B079C1K282,I want an unlocked Google Pixel 2 for under $150.,enhanced
930112,46731,B07DTHG9DF,I want an unlocked Google Pixel 2 for under $150.,enhanced
930213,46737,B07KX8DXW8,I want Google Pixel 3 unlocked. Rating should be above 4 stars and number of reviews should be greater than 400.,enhanced
930216,46737,B07P8MQHSH,I want Google Pixel 3 unlocked. Rating should be above 4 stars and number of reviews should be greater than 400.,enhanced
949257,47737,B07PHTYGY7,GSM unlocked flip phones with strong customer feedback.,enhanced
949265,47737,B07MJHLH72,GSM unlocked flip phones with strong customer feedback.,enhanced
949268,47737,B07BHHHT7Z,GSM unlocked flip phones with strong customer feedback.,enhanced
1014883,51190,B07MJR32X5,Honor 10 Lite unlocked,enhanced
1014884,51190,B07MCMH297,Honor 10 Lite unlocked,enhanced
1014886,51190,B07L52WTHT,Honor 10 Lite unlocked,enhanced
1027353,51839,B01BCWV9ZE,Unlocked Huawei cell phones with decent number of reviews,enhanced
1027354,51839,B00WPW3CQ0,Unlocked Huawei cell phones with decent number of reviews,enhanced
1027355,51839,B00W3WTLCG,Unlocked Huawei cell phones with decent number of reviews,enhanced
1027356,51839,B00W1KSGFI,Unlocked Huawei cell phones with decent number of reviews,enhanced
1027733,51860,B079HG7TZS,Huawei P Smart unlocked with maximum price of $200.,enhanced
1033738,52182,B015YCRZ1K,Search for Huawei Nexus phone with a lot of reviews,enhanced
1033757,52183,B07Q8V5H4N,Huawei P30 Pro unlocked. Maximum price: $300.,enhanced
1033762,52183,B07PX3ZRJ6,Huawei P30 Pro unlocked. Maximum price: $300.,enhanced
1033763,52183,B07PPP65M2,Huawei P30 Pro unlocked. Maximum price: $300.,enhanced
1038938,52448,B07D6VGNF3,iPhone X unlocked,enhanced
1038943,52448,B077578W38,iPhone X unlocked,enhanced
1079067,54558,B081TMCS8H,Refurbished iPhone X costing less than $500.,enhanced
1079080,54558,B077578W38,Refurbished iPhone X costing less than $500.,enhanced
1219230,61807,B083G88YCG,LG Verizon-compatible phones under $100 with 4+ stars.,enhanced
1219234,61807,B07MQGBZW6,LG Verizon-compatible phones under $100 with 4+ stars.,enhanced
1219240,61807,B072BGNWTV,LG Verizon-compatible phones under $100 with 4+ stars.,enhanced
1219673,61832,B0854JL1ZV,LG K20 Plus,original_esci
1219764,61837,B06W9DQXKM,LG K8 unlocked phones under $70 with 4+ stars.,enhanced
1220151,61860,B07HLXGT2S,I need an unlocked LG phone for international use. Only show me results that have at least 4.3 star rating and over 500 reviews.,enhanced
1220159,61860,B07DQ8JGJ4,I need an unlocked LG phone for international use. Only show me results that have at least 4.3 star rating and over 500 reviews.,enhanced
1394458,70853,B07FMZ9CMZ,Find me a Moto E5 Plus T-Mobile unlocked with good number of reviews,enhanced
1394577,70859,B084D89DBF,Moto G Power unlocked,enhanced
19455,685,B0794SCYM8,"I'm searching for a Bluetooth earphone with a mic that won't fall out, priced under $20.",enhanced
85602,3355,B088H3MYGV,I want a 3-in-1 wireless charging station for Apple devices under $40 with many reviews.,enhanced
85603,3355,B08CL2H57K,I want a 3-in-1 wireless charging station for Apple devices under $40 with many reviews.,enhanced
85607,3355,B082X6N8PD,I want a 3-in-1 wireless charging station for Apple devices under $40 with many reviews.,enhanced
85609,3355,B085CD6YJQ,I want a 3-in-1 wireless charging station for Apple devices under $40 with many reviews.,enhanced
88842,3505,B074PVRMZ4,Find me 3.5mm charging cable ,enhanced
103771,4174,B07T232WHW,I want a highly rated 40mm Apple Watch band.,enhanced
103773,4174,B07NY25HG2,I want a highly rated 40mm Apple Watch band.,enhanced
103776,4174,B07FQHLM8M,I want a highly rated 40mm Apple Watch band.,enhanced
103777,4174,B0796PPJF7,I want a highly rated 40mm Apple Watch band.,enhanced
103778,4174,B07T95GP3D,I want a highly rated 40mm Apple Watch band.,enhanced
180721,8002,B077XQBRPN,Show me Alice in Wonderland iPhone 7 Plus cases with decent review count.,enhanced
180722,8002,B077MB6357,Show me Alice in Wonderland iPhone 7 Plus cases with decent review count.,enhanced
204116,9249,B01N2HIR9R,Anker 4-port USB charger averagely priced,enhanced
204131,9249,B00VH8G1SY,Anker 4-port USB charger averagely priced,enhanced
204383,9265,B07QXV6N1B,Show me premium Anker portable chargers.,enhanced
204386,9265,B01JIWQPMW,Show me premium Anker portable chargers.,enhanced
204390,9265,B00Z9QVE4Q,Show me premium Anker portable chargers.,enhanced
204391,9265,B00X5RV14Y,Show me premium Anker portable chargers.,enhanced
211613,9625,B07T8TRBNQ,Cheap Apple 18W charger,enhanced
212499,9674,B08BRP5ZLM,Show me decently rated Apple charging stations under $40.,enhanced
212500,9674,B08D34L2F8,Show me decently rated Apple charging stations under $40.,enhanced
212503,9674,B08998DGF5,Show me decently rated Apple charging stations under $40.,enhanced
212504,9674,B082X6N8PD,Show me decently rated Apple charging stations under $40.,enhanced
212512,9674,B07SF5Z66K,Show me decently rated Apple charging stations under $40.,enhanced
212515,9674,B07YTHD64R,Show me decently rated Apple charging stations under $40.,enhanced
214343,9765,B07F1FVHHW,I'm searching for a Apple Pencil cap with a lot of reviews and over 4.7 star rating.,enhanced
214344,9765,B07CL8QSL1,I'm searching for a Apple Pencil cap with a lot of reviews and over 4.7 star rating.,enhanced
214888,9793,B07XL9H9G2,Show me cheap Apple silicone cases for the iPhone 11 Pro Max with excellent ratings.,enhanced
214890,9793,B07WS8L729,Show me cheap Apple silicone cases for the iPhone 11 Pro Max with excellent ratings.,enhanced
214894,9793,B07T9NS3TG,Show me cheap Apple silicone cases for the iPhone 11 Pro Max with excellent ratings.,enhanced
214980,9799,B07XFBN7HX,I want to find Apple travel chargers with great customer ratings from at least 10000 reviewers.,enhanced
214987,9799,B0194WDVHI,I want to find Apple travel chargers with great customer ratings from at least 10000 reviewers.,enhanced
214989,9799,B00Z9QVE4Q,I want to find Apple travel chargers with great customer ratings from at least 10000 reviewers.,enhanced
214990,9799,B00X5RV14Y,I want to find Apple travel chargers with great customer ratings from at least 10000 reviewers.,enhanced
214991,9799,B07DBXZZN3,I want to find Apple travel chargers with great customer ratings from at least 10000 reviewers.,enhanced
215458,9816,B0888QXL78,"I'm looking for an average price, top rated Apple Watch Series 3 screen protectors.",enhanced
215530,9820,B07T95GP3D,I'm searching for a slim waterproof 40 mm Apple Watch Series 4 band with a regular buckle under $25 with strong ratings.,enhanced
215532,9820,B0777H9JZJ,I'm searching for a slim waterproof 40 mm Apple Watch Series 4 band with a regular buckle under $25 with strong ratings.,enhanced
215533,9820,B07FXKDC1J,I'm searching for a slim waterproof 40 mm Apple Watch Series 4 band with a regular buckle under $25 with strong ratings.,enhanced
215536,9820,B07T35S2DT,I'm searching for a slim waterproof 40 mm Apple Watch Series 4 band with a regular buckle under $25 with strong ratings.,enhanced
215794,9836,B0815Y9Z2T,Best Apple Watch bands between $15 and $30 with large number of reviews.,enhanced
215795,9836,B0815WV2Q1,Best Apple Watch bands between $15 and $30 with large number of reviews.,enhanced
215820,9836,B07FV8WBRQ,Best Apple Watch bands between $15 and $30 with large number of reviews.,enhanced
215821,9836,B07GB5Z7JN,Best Apple Watch bands between $15 and $30 with large number of reviews.,enhanced
215838,9836,B07T95GP3D,Best Apple Watch bands between $15 and $30 with large number of reviews.,enhanced
215841,9836,B07TC5T515,Best Apple Watch bands between $15 and $30 with large number of reviews.,enhanced
215844,9837,B082F5GFDG,Show me 38mm Apple Watch bands under $10 that is highly rated.,enhanced
215856,9837,B083WJCVPR,Show me 38mm Apple Watch bands under $10 that is highly rated.,enhanced
215870,9837,B07T235KZS,Show me 38mm Apple Watch bands under $10 that is highly rated.,enhanced
215893,9837,B07T35S2DT,Show me 38mm Apple Watch bands under $10 that is highly rated.,enhanced
216001,9843,B07YTSBL8W,Show me unique 42mm Apple Watch bands with a lot of reviews,enhanced
216011,9843,B01M98QHU7,Show me unique 42mm Apple Watch bands with a lot of reviews,enhanced
216012,9843,B01AIH23XQ,Show me unique 42mm Apple Watch bands with a lot of reviews,enhanced
216020,9844,B07YC6Z1KD,I'm looking for Apple Watch 44mm bands that cost less than $25 and are highly rated.,enhanced
216026,9844,B07HSSDV4S,I'm looking for Apple Watch 44mm bands that cost less than $25 and are highly rated.,enhanced
216027,9844,B07DNSFB4X,I'm looking for Apple Watch 44mm bands that cost less than $25 and are highly rated.,enhanced
216076,9847,B01AIH22FA,Show me double-strap leather Apple Watch bands under $35 with large amount of good ratings.,enhanced
217362,9911,B07YFS7RGQ,Show me a cheap Apple Watch Series 5 bands with good reviews.,enhanced
217363,9911,B07VQDKWRT,Show me a cheap Apple Watch Series 5 bands with good reviews.,enhanced
217366,9911,B07T95GP3D,Show me a cheap Apple Watch Series 5 bands with good reviews.,enhanced
217369,9911,B07P1G4DJ7,Show me a cheap Apple Watch Series 5 bands with good reviews.,enhanced
217371,9911,B07HSSDV4S,Show me a cheap Apple Watch Series 5 bands with good reviews.,enhanced
217372,9911,B07HC9RM8N,Show me a cheap Apple Watch Series 5 bands with good reviews.,enhanced
217458,9917,B07ZH4LDSS,Search for highly rated Apple Watch Series 5 40mm bands ,enhanced
217466,9917,B07YFS7RGQ,Search for highly rated Apple Watch Series 5 40mm bands ,enhanced
217719,9933,B07V3TKBQF,apple xs max iphone case,original_esci
236965,10902,B07B3QBMNY,Show me protective cases for the Asus Zenfone Live with decent number of reviews.,enhanced
237946,10947,B081CL8JCB,I'm looking for an athletic phone holder between $10 and $14.,enhanced
238442,10972,B07VFLPPDG,Top rated Atlana phone case,enhanced
238444,10972,B07MFQLWVT,Top rated Atlana phone case,enhanced
238448,10972,B07X5V6Y6J,Top rated Atlana phone case,enhanced
278196,13044,B0814P9Y7R,Show me BAPE iPhone 11 case under $30 with good reviews,enhanced
278197,13044,B07ZNX1PBL,Show me BAPE iPhone 11 case under $30 with good reviews,enhanced
278198,13044,B07YQ7K9NV,Show me BAPE iPhone 11 case under $30 with good reviews,enhanced
329533,15644,B0881SX8Q7,I need a cheap and big iPhone SE case.,enhanced
329538,15644,B085ZMH583,I need a cheap and big iPhone SE case.,enhanced
329540,15644,B084KL1FST,I need a cheap and big iPhone SE case.,enhanced
329542,15644,B07V59RL8L,I need a cheap and big iPhone SE case.,enhanced
329544,15644,B01M1SCIOV,I need a cheap and big iPhone SE case.,enhanced
329545,15644,B01KF0FJX2,I need a cheap and big iPhone SE case.,enhanced
329546,15644,B01K6PAZ1M,I need a cheap and big iPhone SE case.,enhanced
360727,17284,B01MS60QBK,Show me decently rated Blu Phone R1 HD cases.,enhanced
360728,17284,B01M0VRE1E,Show me decently rated Blu Phone R1 HD cases.,enhanced
360730,17284,B01LBP3AKE,Show me decently rated Blu Phone R1 HD cases.,enhanced
462503,22535,B07LB3MVFH,Show me canvas iPhone XR cases under $25 with good ratings.,enhanced
465483,22691,B07L3Q7Y4F,Show me magnetic car phone holders with strong customer ratings.,enhanced
465490,22691,B07Q3BN8WN,Show me magnetic car phone holders with strong customer ratings.,enhanced
467106,22786,B083Z7FW7R,Best car phone mounts under $15.,enhanced
467119,22786,B07R1QZ8V1,Best car phone mounts under $15.,enhanced
470155,22945,B081RZR2NH,I am looking for a Carbon fiber watch band for Apple watch Ultra,enhanced
495653,24242,B07MJ92C75,Show me stylish cell phone bags for men with good reviews (100+).,enhanced
495656,24242,B01N9HZR2I,Show me stylish cell phone bags for men with good reviews (100+).,enhanced
495658,24242,B017ILGHRI,Show me stylish cell phone bags for men with good reviews (100+).,enhanced
495907,24258,B01HPI5AM2,I need a cell phone holder that's highly rated and costs less than $10.,enhanced
495909,24258,B07BK5P5ST,I need a cell phone holder that's highly rated and costs less than $10.,enhanced
495913,24258,B00WHYWC08,I need a cell phone holder that's highly rated and costs less than $10.,enhanced
544734,26845,B07T6SX1JT,"Find me a click to car dashboard cell phone holder with over 20,000 reviews (4+ star)",enhanced
544738,26845,B07QMQFXRK,"Find me a click to car dashboard cell phone holder with over 20,000 reviews (4+ star)",enhanced
544741,26845,B07FY84Y8Y,"Find me a click to car dashboard cell phone holder with over 20,000 reviews (4+ star)",enhanced
544742,26845,B076B27WP6,"Find me a click to car dashboard cell phone holder with over 20,000 reviews (4+ star)",enhanced
544743,26845,B073R68TSH,"Find me a click to car dashboard cell phone holder with over 20,000 reviews (4+ star)",enhanced
544745,26845,B07R1QZ8V1,"Find me a click to car dashboard cell phone holder with over 20,000 reviews (4+ star)",enhanced
624187,30935,B0839YXJ7G,I want to find best custom PopSockets.,enhanced
624188,30935,B082PJW2YQ,I want to find best custom PopSockets.,enhanced
636877,31575,B082X32VVY,I'm looking for a dark green iPhone XR case under $13 with top customer ratings.,enhanced
636879,31575,B07YC47PBR,I'm looking for a dark green iPhone XR case under $13 with top customer ratings.,enhanced
636882,31575,B07LGCGSQ5,I'm looking for a dark green iPhone XR case under $13 with top customer ratings.,enhanced
714946,35578,B07YRKDF4P,Find super cheap Driver pockets car phone holders with good ratings,enhanced
714957,35578,B07TZSC1P3,Find super cheap Driver pockets car phone holders with good ratings,enhanced
714969,35578,B06X9BG9ZS,Find super cheap Driver pockets car phone holders with good ratings,enhanced
714978,35578,B073R68TSH,Find super cheap Driver pockets car phone holders with good ratings,enhanced
715191,35592,B019ERLLJI,I need a decently rated Droid Turbo 2 case holster that has been reviewed by many customers.,enhanced
715195,35592,B017JJ9J9W,I need a decently rated Droid Turbo 2 case holster that has been reviewed by many customers.,enhanced
719500,35802,B0823Z1JFX,I want a dual iPhone charger. It should be top rated and not cost more than $15.,enhanced
719509,35802,B0773J4N3P,I want a dual iPhone charger. It should be top rated and not cost more than $15.,enhanced
719510,35802,B076NQM7GM,I want a dual iPhone charger. It should be top rated and not cost more than $15.,enhanced
719513,35802,B01JLXTQ1U,I want a dual iPhone charger. It should be top rated and not cost more than $15.,enhanced
759648,37827,B086Y8TL6M,Show me dual-screen phone cases. The case should be have strong customer feedback.,enhanced
759654,37827,B07K7MSV25,Show me dual-screen phone cases. The case should be have strong customer feedback.,enhanced
759658,37827,B07FF3NYKP,Show me dual-screen phone cases. The case should be have strong customer feedback.,enhanced
809521,40391,B07KWS7B3M,Show me dual-screen phone cases. The case should be have strong customer feedback.,enhanced
24437,862,B07YQ8YQCW,OnePlus 7 Pro for under $350 and over 4 star rating,enhanced
